Reviews,Stars,Date,Country,Verified,corpus
"✅ Trip Verified | Had the worst experience. The flight from London to Toronto got delayed and we missed the connecting flight to Halifax. We were four including an infant and a toddler aged 4 years, despite being delayed and missed the connecting flight the ground staff were not at all helpful. We waited for an hour to get them to talk to us and at 12 am they told us they have not booked any hotel for us to stay that night and asked to go search for a hotel on your own, very nice of you British Airways. At least you guys should have given some consideration to the travelers who travel with children and booked some accommodation. We will NOT to travel on this airline again.",2,2023-04-24, Canada ,True,worst experience flight london toronto got delayed missed connecting flight halifax four including infant toddler aged year despite delayed missed connecting flight ground staff helpful waited hour get talk u told u booked hotel u stay night asked go search hotel nice british airway least guy given consideration traveler travel child booked accommodation travel airline
✅ Trip Verified |  The ground staff were not helpful. Felt like all they wanted to do was rush us to check in and then all passengers needed up waiting in a holding area for a bus anyway. Travelling with a child with a disability was a nightmare with British Airways. Logged a complaint and it took almost four weeks to answer. Lost some of our luggage. It was not a good experience.,1,2023-04-23, Ireland ,True,ground staff helpful felt like wanted rush u check passenger needed waiting holding area bus anyway travelling child disability nightmare british airway logged complaint took almost four week answer lost luggage good experience
"✅ Trip Verified |  Second time BA Premium Economy in a newer aircraft and yet another excellent experience. Despite a three hour delay and missing my connection in Hong Kong, this was a very pleasant flight. Seats are spacious and comfortable in Premium Economy in this layout, attitude of the cabin crew was excellent and food was good. They communicate well and rebooked my connection during the flight which brought peace of mind. A very pleasant experience in BA Premium Economy after a major disappointment in Club World earlier this year.",1,2023-04-22, United Kingdom ,True,second time ba premium economy newer aircraft yet another excellent experience despite three hour delay missing connection hong kong pleasant flight seat spacious comfortable premium economy layout attitude cabin crew excellent food good communicate well rebooked connection flight brought peace mind pleasant experience ba premium economy major disappointment club world earlier year
"Not Verified |  They changed our Flights from Brussels to London Heathrow to LAX on 4/16/2023. We paid extra to choose our seats. Since they cancelled they never honored the seat that we bought, they seated us in totally different seats. I asked the check in employee, she was very rude and told us that we have to understand that was a different flight. From London to LAX was worse, nobody in the airport help us. Employees from BA told us that we have to return next day for our flight we can rent a hotel or go terminal 3 and sleep there. Finally one employee help us and gives a voucher for hotel. It was a nightmare this airline. We missed one day work and BA didn’t return the money that we paid for our previous chosen seats.",10,2023-04-18, United States ,False,verified changed flight brussels london heathrow lax paid extra choose seat since cancelled never honored seat bought seated u totally different seat asked check employee rude told u understand different flight london lax worse nobody airport help u employee ba told u return next day flight rent hotel go terminal sleep finally one employee help u give voucher hotel nightmare airline missed one day work ba return money paid previous chosen seat
"Not Verified |  At Copenhagen the most chaotic ticket counter assignment in the history of airlines. Time on board never changed, no fixed counter at Airport. Abysmal service that needs vast improvement here",2,2023-04-18, United States ,False,verified copenhagen chaotic ticket counter assignment history airline time board never changed fixed counter airport abysmal service need vast improvement h
✅ Trip Verified |  Worst experience of my life trying to deal with the customer service for British Airways. So many issues with getting from one destination to the other. Had an absolutely horrible time trying to get answers or reach anyone who was capable of helping navigate uncertainties. I wrote them a formal complaint requesting some type of refund and received a generic “we are sorry” email with 5000 avios attached which is equivalent to maybe $50 on a $600+ flight. Needless to say these will go to waste as I refuse to fly with an untrustworthy incompetent unorganized airline that couldn’t even address one single issue expressed to them. It was equivalent to handing me a band aid after slapping me in the face. I will say the flight itself was smooth and the onboard staff was kind and attentive. The most frustrating thing is that the customer service is trained to give you the runaround so heavily to the point of exhaustion that you just give up trying and take the loss.,5,2023-04-17, United States ,True,worst experience life trying deal customer service british airway many issue getting one destination absolutely horrible time trying get answer reach anyone capable helping navigate uncertainty wrote formal complaint requesting type refund received generic sorry email avios attached equivalent maybe flight needle say go waste refuse fly untrustworthy incompetent unorganized airline even address one single issue expressed equivalent handing band aid slapping face say flight smooth onboard staff kind attentive frustrating thing customer service trained give runaround heavily point exhaustion give trying take loss
"✅ Trip Verified |  Due to code sharing with Cathay Pacific I was downgraded to BA on my return leg. I can’t describe how cheated I felt. I booked and paid for an airline with great entertainment, food and service, instead, I was forced to go hungry because they only had one choice of meal and it was inedible. To ensure the passengers didn’t get any funny ideas and assume that as the vegetarian option was unavailable they might be given a cracker or a small packet of nuts. The cabin crew announced in their uniquely aggressive and dismissive way “You won’t get anything else for 12 hours you know!” the entertainment is compiled mainly of B movies so I paid £11 for Wi-Fi so I could watch Netflix on my laptop. Unsurprisingly, the signal was so weak I couldn’t even send an email. To add insult to injury, the earbuds provided the cheapest and lowest quality I have ever seen. Since the last time I used this airline the crew are less rude and obnoxious and are now just impatient and unhelpful.  What I don’t understand is why it seems that British Airways look for these characteristics as desirable attributes for their crew. ",1,2023-04-17, Hong Kong ,True,due code sharing cathay pacific downgraded ba return leg describe cheated felt booked paid airline great entertainment food service instead forced go hungry one choice meal inedible ensure passenger get funny idea assume vegetarian option unavailable might given cracker small packet nut cabin crew announced uniquely aggressive dismissive way get anything else hour know entertainment compiled mainly b movie paid wi fi could watch netflix laptop unsurprisingly signal weak even send email add insult injury earbuds provided cheapest lowest quality ever seen since last time used airline crew le rude obnoxious impatient unhelpful understand seems british airway look characteristic desirable attribute crew
"✅ Trip Verified |  LHR check in was quick at the First Wing and quickly through security. The First lounge was quiet for a change and a reasonably good breakfast buffet available. While BA have brought back their Highlife magazine in the lounge, it seems they used Covid to scrap all the other magazines they used to offer, as part of the endless BA cost cutting. The toilets in the lounge were as disgusting as ever, not cleaned frequently on this visit and they are about 20 years out of date (the public washrooms in T5 are better and cleaner). Boarding was the usual BA muddled mess, and two of the gate staff appeared to have no clue what they were doing. Endless announcements at the gate about being a full flight, requesting passengers to check in bags, only to get on a flight that was less than 40% full. Onboard a very good welcome from Captain and the flight left the gate only 5 mins late. Breakfast had 3 choices and was a fair standard. No hot towels or even packet towels offered in Club Europe any more, another part of the relentless BA cost cutting. I wouldn't mind but fares are proportionately a lot higher now than pre Covid. Cabin staff service was perfunctory at best, not a scrap of recognition for BA Gold or Oneworld Emerald members, clear proof that BA really don't care any more. Breakfast trays cleared 45 mins into the flight, and that was the sign for staff to stay in the front galley for the rest of the flight. Paid £4.99 for 1 hours wifi, and dropped connection for the next 40 mins. Sad to note that staff service on Ryanair is more pro active nowadays. Priority tagged suitcase came out nearly last at Malaga, this is standard for BA business class baggage handling. Do not waste your money on Club Europe, standards just keep dropping. ",3,2023-04-16, United Kingdom ,True,lhr check quick first wing quickly security first lounge quiet change reasonably good breakfast buffet available ba brought back highlife magazine lounge seems used covid scrap magazine used offer part endless ba cost cutting toilet lounge disgusting ever cleaned frequently visit year date public washroom better cleaner boarding usual ba muddled mess two gate staff appeared clue endless announcement gate full flight requesting passenger check bag get flight le full onboard good welcome captain flight left gate min late breakfast choice fair standard hot towel even packet towel offered club europe another part relentless ba cost cutting mind fare proportionately lot higher pre covid cabin staff service perfunctory best scrap recognition ba gold oneworld emerald member clear proof ba really care breakfast tray cleared min flight sign staff stay front galley rest flight paid hour wifi dropped connection next min sad note staff service ryanair pro active nowadays priority tagged suitcase came nearly last malaga standard ba business class baggage handling waste money club europe standard keep dropping
"✅ Trip Verified |  I wouldn't recommend British Airways at all. I tried to call to customer service for 3 times in different days and time and I waited for more than 30 minutes on the phone! I ended hanging up. They are excusing themselves in the high volume of calls. I write an email an I am still waiting for 2 weeks!  Website is difficult to navigate. It is not easy really to have an invoice of proof of receipt or look for another service. They sent you online but you don't receive a PDF file. So if you need a proof of flight, you need to do screenshots. And, once the flight is flown, you have no access to that booking again to reprint any document or try to create a PDF. You need to contact with a customer service which I did it online, long waiting time, and had to wait more than a week to receive it. Expensive and poor, almost inexistent customer service and difficult to use their website. An airline that definitely wouldn't recommend. It is such a shame that in 2023 they are still in this position and sleeping when they have competitors around",4,2023-04-15, United Kingdom ,True,recommend british airway tried call customer service time different day time waited minute phone ended hanging excusing high volume call write email still waiting week website difficult navigate easy really invoice proof receipt look another service sent online receive pdf file need proof flight need screenshots flight flown access booking reprint document try create pdf need contact customer service online long waiting time wait week receive expensive poor almost inexistent customer service difficult use website airline definitely recommend shame still position sleeping competitor aroun
"✅ Trip Verified |  Absolutely horrible experience. I booked a ticket from Expedia for a British Airways Operated flight from Madrid to Belfast with a changeover at London Heathrow. The whole itinerary was listed as BA although the Madrid to London flight was Iberia. On Jan 22nd, London was experiencing cold and fog. The Iberian flight sat on the tarmac for 2 hours in Madrid because of the London weather. Upon landing in Terminal 3, I had to take a bus to Terminal 5. The flight was the last flight to Belfast for the evening and it had already taken off. The BA desk was swamped with people as many people had to spend the night due to the weather. The British Airways staff said that we could go book any hotel up to 200 pounds and we would be reimbursed. I was barely able to find a room and had to take an expensive cab. However when trying to get the reimbursement, BA said it wasn't their problem and that it was Iberia's problem. Iberia said they do not reimburse due to the weather. When complaining to BA, they said they only market the flight as BA and that they refuse to reimburse. Absolutely disgusting behavior by the airline to not take any responsibility for a flight that they were using their name to sell it to people but don't want to take responsibility for it. Did they expect me to take the bus back to Terminal 3? Their people gave out false information.",3,2023-04-15, United States ,True,absolutely horrible experience booked ticket expedia british airway operated flight madrid belfast changeover london heathrow whole itinerary listed ba although madrid london flight iberia jan nd london experiencing cold fog iberian flight sat tarmac hour madrid london weather upon landing terminal take bus terminal flight last flight belfast evening already taken ba desk swamped people many people spend night due weather british airway staff said could go book hotel pound would reimbursed barely able find room take expensive cab however trying get reimbursement ba said problem iberia problem iberia said reimburse due weather complaining ba said market flight ba refuse reimburse absolutely disgusting behavior airline take responsibility flight using name sell people want take responsibility expect take bus back terminal people gave false information
"Not Verified |  This is the worst airline. Not one thing went right. I don’t understand how they have got it so bad. Late take off, no gate when we arrived. Bags took over 40 minutes to arrive. Horrendous",1,2023-04-14, United Kingdom ,False,verified worst airline one thing went right understand got bad late take gate arrived bag took minute arrive horrendous
"✅ Trip Verified |  I will never fly British Airways again. To start, the plane was over 2 hours late, with no weather and no reason given. The boarding process was chaotic, both in the airport and onto the plane. But more importantly, although we were in business class, it wasn’t really business class. There were a few aisles —not separated in any way—in which they simply put a tray on the middle seat so that no one sits there. And those seats, like the rest, were extremely cramped and uncomfortable. I could not believe they called this business class.",1,2023-04-13, United States ,True,never fly british airway start plane hour late weather reason given boarding process chaotic airport onto plane importantly although business class really business class aisle separated way simply put tray middle seat one sits seat like rest extremely cramped uncomfortable could believe called business class
✅ Trip Verified |  Worst aircraft I have ever flown. The seats were cramped and uncomfortable considering the flights cost well over &1000each we expected a little space for the money my husbands knees were rubbing on seat in front which for a 10 hour+ flight is not acceptable. My food was disgusting and inedible both the hot food and the breakfast were vile. I would not entertain using BA again. Ground staff were great it’s the seating and food on offer that lets the airline down. We expected so much more.,2,2023-04-12, United Kingdom ,True,worst aircraft ever flown seat cramped uncomfortable considering flight cost well expected little space money husband knee rubbing seat front hour flight acceptable food disgusting inedible hot food breakfast vile would entertain using ba ground staff great seating food offer let airline expected much
"✅ Trip Verified |  I enjoyed my flight. The boarding was swift and service was very friendly and professional. The food selection was good and I enjoyed the quality. The was only one downside - when we landed there was an issue with ground crew not being ready at T5, so in total from landing to getting the doors open it took 30 minutes. I believe the Heathrow T5 were having strike action that week.",1,2023-04-11, United Kingdom ,True,enjoyed flight boarding swift service friendly professional food selection good enjoyed quality one downside landed issue ground crew ready total landing getting door open took minute believe heathrow strike action week
"✅ Trip Verified | Why do you make it so hard? After a so so lounge experience, the staff taking care of boarding treated us with disdain bordering contempt. It can’t be training, who would do that, it has to be no fear of anything happening. The “new” club world suites are a huge step up from the old product and really on deliver comfort and privacy. The crew were professional but I personally found the food menu rather odd. Essentially, there was one only main that I could handle and was then told they had ran out. I was a few rows in. ",9,2023-04-10, United Kingdom ,True,make hard lounge experience staff taking care boarding treated u disdain bordering contempt training would fear anything happening new club world suite huge step old product really deliver comfort privacy crew professional personally found food menu rather odd essentially one main could handle told ran row
"✅ Trip Verified |  After several delays and canceled flights, we finally made it to Copenhagen on American Airlines and British Airways flights. My luggage was destroyed, wheels torn off. I had to buy new luggage in Denmark. I made a claim with British Airways to reimburse me but because I didn’t have the receipt for my old luggage, they would only cover 50% of my new luggage. Advice, have receipts for your old luggage prior to flying so you don’t get ripped off like I did.",5,2023-04-09, United States ,True,several delay canceled flight finally made copenhagen american airline british airway flight luggage destroyed wheel torn buy new luggage denmark made claim british airway reimburse receipt old luggage would cover new luggage advice receipt old luggage prior flying get ripped like
"Not Verified |  Literally the worst flight of my life. After booking tickets together with my partner, we were then separated: ‘sorry, the flight is full.’ The flight then took off 45 minutes late - no apology. The trolley service took over two hours and they periodically skipped rows, and the response was flippant and rude: ‘whoops. Not sure how that happened. What do you want?’ Genuinely appalling from beginning to end. Might as well fly Easy Jet - at least they charge a price commensurate with the poor quality of service, not like BA",1,2023-04-09, United Kingdom ,False,verified literally worst flight life booking ticket together partner separated sorry flight full flight took minute late apology trolley service took two hour periodically skipped row response flippant rude whoop sure happened want genuinely appalling beginning end might well fly easy jet least charge price commensurate poor quality service like ba
"✅ Trip Verified |  I swore I would never fly BA again after they messed me about so much when trying to get to Budapest. But the times for their flights suited me so I decided to give them another go. The flight left on time (just about), the cabin was clean and the staff friendly. There was even complimentary tea/coffee and a breakfast bar to be had for economy. The flight was pleasant enough and I can't think of any negatives to write about. The flight and service was certainly head and shoulders above my trip with easyjet.",2,2023-04-09, United Kingdom ,True,swore would never fly ba messed much trying get budapest time flight suited decided give another go flight left time cabin clean staff friendly even complimentary tea coffee breakfast bar economy flight pleasant enough think negative write flight service certainly head shoulder trip easyjet
"✅ Trip Verified |  Obviously many airlines have gone downhill in recent years. Prices have increased and services have gone down. The most disappointing thing about BA is that aspects that really don’t need to get worse have. The check in staff at Heathrow are downright rude and abusive, shouting at passengers to line here and there and rolling their eyes if passengers get confused with the constant shouting and bullying. Airlines are now competing globally more and more and this behaviour is particularly noticeable in Asia where the service industry is next level. I wouldn’t want to suggest that all the staff are like this and many younger employees are polite and helpful. However there were a couple of older staff that were downright rude and obnoxious. ",7,2023-04-06, United Kingdom ,True,obviously many airline gone downhill recent year price increased service gone disappointing thing ba aspect really need get worse check staff heathrow downright rude abusive shouting passenger line rolling eye passenger get confused constant shouting bullying airline competing globally behaviour particularly noticeable asia service industry next level want suggest staff like many younger employee polite helpful however couple older staff downright rude obnoxious
"✅ Trip Verified | Lost 3 out of 4 checked bags. Denied wheelchair assistance at LHR for my wife and the staff forced us to change terminals by foot. Rude staff on BA297 from LHR to ORD on April 05, 2023: ignored multiple times when simply requested a cup of water. When walked up to them after a couple of attempts to request for water politely, the BA staff onboard yelled at my wife and asked her to be go back to seat. Horrible flight with disappointing staff. Customer service is terrible and online check-in never worked because BA never verified our COVID documents which were uploaded in advance, resulting me and my wife seated separately. I’ve lost respect for British Airways. Disgusted.",4,2023-04-06, United States ,True,lost checked bag denied wheelchair assistance lhr wife staff forced u change terminal foot rude staff ba lhr ord april ignored multiple time simply requested cup water walked couple attempt request water politely ba staff onboard yelled wife asked go back seat horrible flight disappointing staff customer service terrible online check never worked ba never verified covid document uploaded advance resulting wife seated separately lost respect british airway disgusted
"✅ Trip Verified |  I have flown with BA for many years and there was a time about 10 years ago when they were getting better. Sadly this trip underlines how they have slipped versus other airlines. At booking time, one is scammed an extortionate amount to book a seat. At Heathrow T5 check in the queues were unbelievably long and staff at bag drop curt to say the least. The lounges here remain awful and overcrowded and BA has not invested in them for many years. On the flight the food was okay, although portions are kept minimal. This was one of those days when the crew could not give a damn and the service was mostly absent for the entire flight. Next time they change CEO, can they not do better than recruiting from aa second rate, budget Irish airline.",1,2023-04-05, United Kingdom ,True,flown ba many year time year ago getting better sadly trip underline slipped versus airline booking time one scammed extortionate amount book seat heathrow check queue unbelievably long staff bag drop curt say least lounge remain awful overcrowded ba invested many year flight food okay although portion kept minimal one day crew could give damn service mostly absent entire flight next time change ceo better recruiting aa second rate budget irish airline
"✅ Trip Verified | Boarding at Mumbai was chaotic and badly organised. Once on board the crew announcements were professional, relaxed and informative in typical BA style. The seat was quite comfortable. It was a refurbished aircraft and the padding and materials are quite good. I was lucky that the middle seat was empty so I didn’t suffer from the new narrow seat which I think would have made it a lot less comfortable. The IFE is excellent, responsive and good quality. There is an enormous selection of TV and movies and a good number of games. WIFI is also very good not quite Netflix quality but still reasonable and I don’t think £17.99 for full flight is bad value. You can pay less if you just want short term simple messaging. Cabin crew were very good. Friendly and efficient. Catering was reasonable although on a near 10hr flight, the small (but tasty) pastry for the second meal service wasn’t really enough. Landing and processing at Heathrow was astonishingly quick - it felt like it was 3am, even though it was 6:30pm! No queues or waiting at all. Even the baggage was super quick at coming through. Overall a very solid experience in economy. Significantly better than it used to be.",3,2023-03-31, United Kingdom ,True,boarding mumbai chaotic badly organised board crew announcement professional relaxed informative typical ba style seat quite comfortable refurbished aircraft padding material quite good lucky middle seat empty suffer new narrow seat think would made lot le comfortable ife excellent responsive good quality enormous selection tv movie good number game wifi also good quite netflix quality still reasonable think full flight bad value pay le want short term simple messaging cabin crew good friendly efficient catering reasonable although near hr flight small tasty pastry second meal service really enough landing processing heathrow astonishingly quick felt like even though pm queue waiting even baggage super quick coming overall solid experience economy significantly better used
